Arrond,Arrond_Nom,Date_Plantation,Longitude,Latitude
1,Ahuntsic - Cartierville,2004-06-10,-73.715515,45.535151
1,Ahuntsic - Cartierville,2004-06-18,-73.715595,45.535219
1,Ahuntsic - Cartierville,2004-06-10,-73.715659,45.535105
1,Ahuntsic - Cartierville,2004-06-18,-73.715298,45.535617
1,Ahuntsic - Cartierville,2004-06-18,-73.715596,45.535598
1,Ahuntsic - Cartierville,2004-06-18,-73.71571,45.535821
1,Ahuntsic - Cartierville,2004-06-18,-73.715364,45.535824
1,Ahuntsic - Cartierville,2004-06-18,-73.715562,45.536186
1,Ahuntsic - Cartierville,2004-06-18,-73.715551,45.536349
1,Ahuntsic - Cartierville,2004-06-18,-73.715525,45.536285
1,Ahuntsic - Cartierville,2004-06-18,-73.71561,45.536303
1,Ahuntsic - Cartierville,2004-07-06,-73.654402,45.57114
1,Ahuntsic - Cartierville,2004-07-06,-73.695318,45.547073
1,Ahuntsic - Cartierville,2004-07-06,-73.695548,45.547125
1,Ahuntsic - Cartierville,2004-07-12,-73.652695,45.570248
1,Ahuntsic - Cartierville,2004-07-12,-73.652806,45.570297
1,Ahuntsic - Cartierville,2004-07-12,-73.716914,45.536621
1,Ahuntsic - Cartierville,2004-07-12,-73.653137,45.57044
1,Ahuntsic - Cartierville,2004-07-07,-73.653043,45.569986
1,Ahuntsic - Cartierville,2004-07-07,-73.653242,45.570072
1,Ahuntsic - Cartierville,2004-07-07,-73.653311,45.570103
1,Ahuntsic - Cartierville,2004-07-07,-73.653376,45.570131
1,Ahuntsic - Cartierville,2004-07-07,-73.65344,45.57016
1,Ahuntsic - Cartierville,2004-07-07,-73.653502,45.57019
1,Ahuntsic - Cartierville,2004-07-07,-73.653565,45.570217
1,Ahuntsic - Cartierville,2004-07-08,-73.653203,45.569966
1,Ahuntsic - Cartierville,2004-07-08,-73.653291,45.570058
1,Ahuntsic - Cartierville,2004-07-08,-73.653338,45.570072
1,Ahuntsic - Cartierville,2004-07-08,-73.653378,45.570095
1,Ahuntsic - Cartierville,2004-07-08,-73.653425,45.570108
1,Ahuntsic - Cartierville,2004-07-08,-73.653473,45.570135
1,Ahuntsic - Cartierville,2004-07-08,-73.653522,45.570119
1,Ahuntsic - Cartierville,2004-07-13,-73.653387,45.569997
1,Ahuntsic - Cartierville,2004-07-08,-73.653528,45.570154
1,Ahuntsic - Cartierville,2004-07-19,-73.653569,45.570179
1,Ahuntsic - Cartierville,2004-09-02,-73.630284,45.553199
1,Ahuntsic - Cartierville,2004-08-23,-73.687882,45.537813
1,Ahuntsic - Cartierville,2006-09-18,-73.68783,45.53773
1,Ahuntsic - Cartierville,2004-08-23,-73.687834,45.53765
1,Ahuntsic - Cartierville,2004-08-23,-73.687714,45.53761
1,Ahuntsic - Cartierville,2004-08-30,-73.704563,45.534982
1,Ahuntsic - Cartierville,2004-08-30,-73.704404,45.534946
1,Ahuntsic - Cartierville,2004-08-30,-73.704269,45.534865
1,Ahuntsic - Cartierville,2004-08-30,-73.704342,45.534807
1,Ahuntsic - Cartierville,2004-08-30,-73.704383,45.534734
1,Ahuntsic - Cartierville,2004-09-07,-73.704979,45.534333
1,Ahuntsic - Cartierville,2004-08-31,-73.705277,45.534433
1,Ahuntsic - Cartierville,2004-09-01,-73.705082,45.534188
1,Ahuntsic - Cartierville,2004-10-28,-73.704912,45.534202
1,Ahuntsic - Cartierville,2004-09-16,-73.668241,45.561523
1,Ahuntsic - Cartierville,2004-09-16,-73.668366,45.561563
1,Ahuntsic - Cartierville,2004-09-16,-73.66846,45.561723
1,Ahuntsic - Cartierville,2004-09-16,-73.668405,45.561815
1,Ahuntsic - Cartierville,2004-09-20,-73.631479,45.553355
1,Ahuntsic - Cartierville,2004-09-20,-73.631463,45.553315
1,Ahuntsic - Cartierville,2004-09-22,-73.630866,45.558149
1,Ahuntsic - Cartierville,2004-09-22,-73.630934,45.558188
1,Ahuntsic - Cartierville,2004-09-22,-73.631087,45.558248
1,Ahuntsic - Cartierville,2004-09-27,-73.649304,45.54757
1,Ahuntsic - Cartierville,2004-09-27,-73.649304,45.54757
1,Ahuntsic - Cartierville,2004-09-27,-73.652973,45.548757
1,Ahuntsic - Cartierville,2004-09-27,-73.6531,45.5486
1,Ahuntsic - Cartierville,2004-09-27,-73.653309,45.54869
1,Ahuntsic - Cartierville,2004-09-27,-73.653259,45.548802
1,Ahuntsic - Cartierville,2004-09-28,-73.653061,45.548933
1,Ahuntsic - Cartierville,2004-09-28,-73.653204,45.549
1,Ahuntsic - Cartierville,2004-09-28,-73.653154,45.549234
1,Ahuntsic - Cartierville,2004-09-29,-73.66406,45.555829
1,Ahuntsic - Cartierville,2004-09-29,-73.664634,45.55625
1,Ahuntsic - Cartierville,2004-09-29,-73.664952,45.556747
1,Ahuntsic - Cartierville,2004-09-29,-73.665205,45.556579
1,Ahuntsic - Cartierville,2004-09-29,-73.665124,45.55663
1,Ahuntsic - Cartierville,2004-09-30,-73.665422,45.556797
1,Ahuntsic - Cartierville,2004-09-30,-73.665503,45.556756
1,Ahuntsic - Cartierville,2004-09-29,-73.665348,45.557061
1,Ahuntsic - Cartierville,2004-09-30,-73.665592,45.557424
1,Ahuntsic - Cartierville,2004-09-30,-73.66551,45.557537
1,Ahuntsic - Cartierville,2004-10-06,-73.642789,45.570466
1,Ahuntsic - Cartierville,2004-10-06,-73.642876,45.570502
1,Ahuntsic - Cartierville,2004-10-06,-73.642964,45.570542
1,Ahuntsic - Cartierville,2004-10-06,-73.64283,45.570562
1,Ahuntsic - Cartierville,2004-10-06,-73.642917,45.570599
1,Ahuntsic - Cartierville,2004-10-06,-73.643005,45.570638
1,Ahuntsic - Cartierville,2004-10-06,-73.64259,45.570812
1,Ahuntsic - Cartierville,2004-10-26,-73.642816,45.570781
1,Ahuntsic - Cartierville,2015-11-23,-73.642876,45.570771
1,Ahuntsic - Cartierville,2004-10-14,-73.718819,45.536945
1,Ahuntsic - Cartierville,2004-10-14,-73.718621,45.536997
1,Ahuntsic - Cartierville,2004-10-14,-73.718416,45.537034
1,Ahuntsic - Cartierville,2004-10-14,-73.718188,45.536973
1,Ahuntsic - Cartierville,2004-10-14,-73.719127,45.536864
1,Ahuntsic - Cartierville,2004-10-14,-73.718971,45.536842
1,Ahuntsic - Cartierville,2004-10-14,-73.718661,45.536751
1,Ahuntsic - Cartierville,2004-10-14,-73.716457,45.535964
1,Ahuntsic - Cartierville,2004-10-21,-73.677425,45.550193
1,Ahuntsic - Cartierville,2004-10-21,-73.677204,45.550148
1,Ahuntsic - Cartierville,2004-10-21,-73.677057,45.550064
1,Ahuntsic - Cartierville,2004-10-25,-73.676774,45.54998
